WINV26;02/09/2026;15:25:00;187400,00;187595,00;187370,00;187510,00;3582359587,00;95539
WINV26;02/09/2026;15:20:00;187640,00;187800,00;187360,00;187395,00;5865567511,00;156333
WINV26;02/09/2026;15:15:00;187455,00;187880,00;187430,00;187640,00;9223727641,00;245685
WINV26;02/09/2026;15:10:00;187430,00;187540,00;187410,00;187455,00;3176528713,00;84725
WINV26;02/09/2026;15:05:00;187530,00;187630,00;187425,00;187430,00;3988029137,00;106333
WINV26;02/09/2026;15:00:00;187350,00;187600,00;187305,00;187530,00;4929374859,00;131476
WINV26;02/09/2026;14:55:00;187205,00;187465,00;187175,00;187355,00;5694868254,00;152009
WINV26;02/09/2026;14:50:00;187145,00;187250,00;187000,00;187200,00;5044940991,00;134823
WINV26;02/09/2026;14:45:00;187255,00;187335,00;187120,00;187145,00;4307180873,00;115016
WINV26;02/09/2026;14:40:00;187210,00;187340,00;187140,00;187255,00;4730888613,00;126336
WINV26;02/09/2026;14:35:00;187235,00;187375,00;187180,00;187205,00;3679455852,00;98244
WINV26;02/09/2026;14:30:00;187225,00;187265,00;187170,00;187235,00;2485120701,00;66369
WINV26;02/09/2026;14:25:00;187135,00;187285,00;187120,00;187230,00;3291824944,00;87931
WINV26;02/09/2026;14:20:00;186885,00;187260,00;186845,00;187140,00;6025888240,00;161039
WINV26;02/09/2026;14:15:00;187100,00;187105,00;186865,00;186890,00;5751427263,00;153828
WINV26;02/09/2026;14:10:00;187250,00;187265,00;187085,00;187100,00;4075658320,00;108883
WINV26;02/09/2026;14:05:00;187460,00;187505,00;187230,00;187255,00;3862872190,00;103091
WINV26;02/09/2026;14:00:00;187470,00;187630,00;187350,00;187460,00;5992591389,00;159812
WINV26;02/09/2026;13:55:00;187515,00;187580,00;187455,00;187470,00;2116475550,00;56435
WINV26;02/09/2026;13:50:00;187395,00;187560,00;187370,00;187510,00;3693592740,00;98509
WINV26;02/09/2026;13:45:00;187485,00;187665,00;187320,00;187395,00;6451193299,00;172048
WINV26;02/09/2026;13:40:00;187490,00;187540,00;187375,00;187485,00;3512491796,00;93688
WINV26;02/09/2026;13:35:00;187410,00;187585,00;187375,00;187495,00;4331927994,00;115541
